"","area_type","mean_dist_vac","dist_capital","dist_border","settle_nearest","settle_isolation","terrain","latitude","longitude","timestamp"
"1","road_obs_battles",8435.62500343861,1509608.198454,2.4168885484956,19644.2114941479,0,564,1.426,27.6164,1524054024
"2","road_obs_battles",0,1631735.35982497,0.432251299877474,4977.23890754364,1,1728,0.1416,29.2912,1525109202
"3","road_obs_battles",0,1631735.35982497,0.432251299877474,4977.23890754364,1,1728,0.1416,29.2912,1525109202
"4","road_obs_battles",0,1631735.35982497,0.432251299877474,4977.23890754364,1,1728,0.1416,29.2912,1525109202
"5","road_obs_battles",0,1785237.77996159,0.386477979050987,16340.173196833,0,1266,1.5667,30.25,1524054024
"6","road_obs_battles",0,1454761.64115262,1.13855855184635,8155.82261770948,0,676,-1.4281,28.0726,1524054024
"7","road_obs_battles",0,1454761.64115262,1.13855855184635,8155.82261770948,0,676,-1.4281,28.0726,1524054024
"8","road_obs_battles",0,1785237.77996159,0.386477979050987,16340.173196833,0,1266,1.5667,30.25,1524054024
"9","road_obs_battles",0,1454761.64115262,1.13855855184635,8155.82261770948,0,676,-1.4281,28.0726,1524054024
"10","road_obs_battles",0,1454761.64115262,1.13855855184635,8155.82261770948,0,676,-1.4281,28.0726,1524054024
"11","road_obs_battles",4118.23637758556,1481028.02740532,0.701429752306316,16640.488095238,0,747,-4.6959,28.6474,1524054024
"12","road_obs_battles",25123.3539395644,1780112.87512054,1.13403946603007,1896.80042678609,1,1037,3.05,29.5333,1524054024
"13","road_obs_battles",0,1548266.75824995,0.322119490144461,3532.95802927833,1,829,-5.937,29.1785,1524054024
"14","road_obs_battles",0,1548266.75824995,0.322119490144461,3532.95802927833,1,829,-5.937,29.1785,1524054024
"15","road_obs_battles",25123.3539395644,1780112.87512054,1.13403946603007,1896.80042678609,1,1037,3.05,29.5333,1524054024
"16","road_obs_battles",25123.3539395644,1780112.87512054,1.13403946603007,1896.80042678609,1,1037,3.05,29.5333,1524054024
"17","road_obs_battles",25398.3496869128,1357801.99645048,1.47311260186169,38587.193514756,0,689,-2.45,27.3833,1524054024
"18","road_obs_battles",25123.3539395644,1780112.87512054,1.13403946603007,1896.80042678609,1,1037,3.05,29.5333,1524054024
"19","road_obs_battles",0,1278339.23906601,2.59085787301392,7015.52035565289,0,573,-1.4667,26.45,1524054024
"20","road_obs_battles",0,1577796.04774966,1.68581939360169,5149.58708149604,0,747,2.7666,27.6166,1524054024
"21","road_obs_battles",49464.8482836118,1315156.70924522,2.77936246657341,1655.65325942958,1,526,-0.7333,26.5833,1524054024
"22","road_obs_battles",0,1378368.86328054,1.4861309668011,5214.75828369244,0,637,-3.5402,27.6939,1524054024
"23","road_obs_battles",55494.4040924323,1443636.30213544,2.72309072856373,3682.42156008142,1,535,1.0017,27.1573,1524054024
"24","road_obs_battles",0,1832977.82944073,0.530637843538725,7042.7682251567,0,770,3.7352,29.7088,1524054024
"25","road_obs_battles",49464.8482836118,1315156.70924522,2.77936246657341,1655.65325942958,1,526,-0.7333,26.5833,1524054024
